Time;Type;Volume;Symbol;Price;Volume;Time;Price;Commission;Swap;Profit
2026.07.17 16:45:00;Sell;0.01;BTCUSD;62472.89;0.01;2026.07.17 21:49:06;64378.64;;;-19.06
2026.07.16 11:20:02;Sell;0.01;BTCUSD;63854.84;0.01;2026.07.17 16:40:00;62511.15;;0.03;13.44
2026.07.16 10:55:00;Sell;0.01;BTCUSD;64050.44;0.01;2026.07.16 11:15:00;63893.29;;;1.5699999999999998
2026.07.16 10:45:00;Sell;0.01;BTCUSD;64159.95;0.01;2026.07.16 10:50:00;64204.24;;;-0.44
2026.07.16 10:35:00;Sell;0.01;BTCUSD;64421.4;0.01;2026.07.16 10:40:00;64227.3;;;1.94
2026.07.14 02:05:00;Sell;0.01;BTCUSD;61889.64;0.01;2026.07.14 15:46:04;63750.49;;;-18.61
2026.07.10 02:25:00;Buy;0.01;BTCUSD;63229.05;0.01;2026.07.10 21:51:48;63722.7;;;4.9399999999999995
2026.07.09 05:50:00;Sell;0.01;BTCUSD;61681.36;0.01;2026.07.10 04:48:29;63770.08;;0.02;-20.89
2026.07.07 07:40:00;Sell;0.01;BTCUSD;63161.3;0.01;2026.07.07 22:15:00;63498.36;;;-3.37
2026.07.02 09:35:00;Buy;0.01;BTCUSD;60550.72;0.01;2026.07.05 05:17:15;62572.05;;-0.6;20.21
2026.07.01 14:00:00;Sell;0.01;BTCUSD;58561.69;0.01;2026.07.01 18:23:04;60395.57;;;-18.34
2026.06.30 16:05:00;Sell;0.01;BTCUSD;58360.07;0.01;2026.07.01 09:35:00;58572.61;;0.01;-2.13
2026.06.30 07:00:00;Sell;0.01;BTCUSD;59504.52;0.01;2026.06.30 16:00:00;58332.22;;;11.72
2026.06.26 14:30:00;Sell;0.01;BTCUSD;59338.23;0.01;2026.06.27 22:35:00;60105.57;;-0.04;-7.67
2026.06.25 17:15:00;Sell;0.01;BTCUSD;59154.91;0.01;2026.06.26 09:39:23;60307.22;;-0.02;-11.52
2026.06.25 17:00:00;Sell;0.01;BTCUSD;58203.36;0.01;2026.06.25 17:05:00;58858.81;;;-6.55
2026.06.25 16:50:00;Sell;0.01;BTCUSD;59388.44;0.01;2026.06.25 16:55:00;58739.92;;;6.49
2026.06.24 17:40:00;Sell;0.01;BTCUSD;61013.66;0.01;2026.06.24 21:21:33;59875.87;;;11.38
2026.06.24 17:10:00;Sell;0.01;BTCUSD;61231.09;0.01;2026.06.24 17:20:00;60917.03;;;3.14
2026.06.24 17:00:00;Sell;0.01;BTCUSD;61178.52;0.01;2026.06.24 17:05:00;61174.4;;;0.04
2026.06.24 16:50:00;Sell;0.01;BTCUSD;61375.7;0.01;2026.06.24 16:55:00;61413.23;;;-0.38
2026.06.24 16:30:00;Sell;0.01;BTCUSD;61665.13;0.01;2026.06.24 16:45:00;61398.45;;;2.67
2026.06.24 16:15:00;Sell;0.01;BTCUSD;61938.65;0.01;2026.06.24 16:25:00;61787.92;;;1.51
2026.06.24 13:30:00;Sell;0.01;BTCUSD;62447.58;0.01;2026.06.24 16:10:00;62188.27;;;2.59
2026.06.23 00:30:00;Sell;0.01;BTCUSD;64233.3;0.01;2026.06.23 19:06:35;62552.24;;;16.81
2026.06.19 19:20:00;Buy;0.01;BTCUSD;63208.98;0.01;2026.06.21 03:45:29;64181.7;;-0.4;9.73
2026.06.19 05:20:00;Sell;0.01;BTCUSD;62876.53;0.01;2026.06.20 16:25:00;63313.91;;-0.04;-4.37
2026.06.19 04:44:55;Balance;;;;;;;;;79.77
